gae_lambda,distance_rew_weight,final_mean_return
0.8040404040404041,4.242424242424242,"[260.125, 263.625, 283.859375, 239.515625, 243.78125, 262.3671875, 483.5546875, 232.9453125, 294.671875, 255.1953125]"
0.8525252525252526,7.6767676767676765,"[239.0703125, 222.234375, 236.0234375, 258.3515625, 234.046875, 239.140625, 205.1171875, 275.9609375, 234.5703125, 230.6640625]"
0.9535353535353536,4.747474747474747,"[227.84375, 214.765625, 246.59375, 217.65625, 243.359375, 211.90625, 195.9765625, 219.0, 226.421875, 230.171875]"
0.9111111111111111,2.4242424242424243,"[268.6328125, 267.734375, 318.40625, 259.9453125, 288.984375, 242.609375, 305.625, 262.1796875, 265.78125, 273.265625]"
0.997979797979798,7.171717171717171,"[310.9921875, 254.671875, 718.84375, 298.4609375, 290.03125, 314.1640625, 905.5859375, 233.0546875, 342.1796875, 270.6875]"
0.8121212121212121,2.8282828282828283,"[293.15625, 303.3671875, 407.03125, 254.9296875, 250.3046875, 295.2578125, 389.7421875, 299.609375, 247.84375, 262.8984375]"
0.9494949494949495,2.121212121212121,"[238.09375, 383.875, 253.28125, 265.9453125, 260.8984375, 261.8515625, 253.5078125, 286.984375, 262.125, 282.8046875]"
0.8707070707070708,2.2222222222222223,"[318.7109375, 317.1953125, 343.3984375, 259.046875, 312.0546875, 279.1875, 333.2109375, 320.6640625, 304.8125, 293.1484375]"
0.9191919191919192,5.656565656565657,"[215.078125, 210.4921875, 239.3046875, 215.296875, 212.5390625, 229.0546875, 204.3359375, 214.734375, 263.140625, 201.7109375]"
0.898989898989899,5.959595959595959,"[240.875, 227.2265625, 232.1484375, 229.09375, 215.171875, 247.140625, 209.75, 247.90625, 239.0390625, 184.15625]"
0.8161616161616162,3.4343434343434343,"[300.9375, 314.71875, 336.2421875, 243.2578125, 271.6796875, 270.8046875, 344.875, 409.53125, 283.4765625, 234.90625]"
0.9656565656565657,3.9393939393939394,"[221.7109375, 204.21875, 254.09375, 244.609375, 215.8828125, 221.4609375, 221.078125, 222.2578125, 215.25, 254.546875]"
0.9373737373737374,6.666666666666667,"[231.46875, 373.734375, 232.2109375, 208.9296875, 240.8359375, 229.7109375, 533.5, 243.421875, 226.453125, 224.7734375]"
0.8505050505050505,2.323232323232323,"[355.5625, 406.9375, 406.578125, 292.015625, 313.5, 279.1875, 284.9453125, 327.21875, 349.1953125, 303.7890625]"
0.8828282828282829,7.878787878787879,"[234.0546875, 255.1171875, 302.84375, 239.0390625, 249.0390625, 219.84375, 208.0078125, 232.1953125, 239.640625, 191.5859375]"
0.9555555555555556,0.0,"[434.78125, 419.375, 395.953125, 348.734375, 248.96875, 404.5234375, 300.5078125, 264.3046875, 288.75, 380.8203125]"
0.8565656565656566,0.20202020202020202,"[1000.0, 1000.0, 931.9296875, 993.375, 472.7421875, 428.3828125, 544.078125, 879.65625, 819.765625, 956.7421875]"
0.8626262626262626,1.5151515151515151,"[368.1328125, 451.375, 532.859375, 408.1328125, 321.609375, 381.125, 373.2421875, 413.921875, 347.8515625, 437.734375]"
0.9757575757575758,6.161616161616162,"[241.0234375, 220.515625, 241.0703125, 200.1640625, 227.7421875, 230.125, 222.4921875, 254.546875, 256.984375, 234.453125]"
0.8222222222222223,1.3131313131313131,"[518.5859375, 488.8203125, 533.734375, 518.859375, 507.3515625, 367.6171875, 425.921875, 771.375, 524.84375, 480.03125]"
0.9434343434343435,1.9191919191919191,"[312.84375, 253.953125, 363.421875, 254.6953125, 294.3125, 256.65625, 280.40625, 258.1640625, 244.484375, 263.25]"
0.9212121212121213,7.373737373737374,"[234.921875, 217.125, 255.640625, 234.2890625, 243.7421875, 437.6796875, 225.96875, 261.59375, 246.8515625, 206.3203125]"
0.9959595959595959,2.929292929292929,"[225.3203125, 243.9375, 252.640625, 227.859375, 227.3359375, 263.828125, 216.71875, 229.28125, 222.5625, 222.7734375]"
0.9878787878787879,5.353535353535354,"[208.765625, 205.3359375, 269.703125, 225.8671875, 240.6953125, 227.03125, 229.4375, 216.21875, 206.7265625, 214.640625]"
0.9555555555555556,2.727272727272727,"[248.859375, 211.1640625, 271.078125, 251.7890625, 244.6953125, 228.0234375, 229.8203125, 235.578125, 205.7421875, 199.2421875]"
0.8343434343434344,0.7070707070707071,"[615.578125, 503.8984375, 457.1015625, 392.0859375, 382.7109375, 405.3828125, 925.2890625, 705.203125, 558.5625, 694.7109375]"
0.888888888888889,5.757575757575758,"[200.796875, 229.3828125, 299.234375, 197.9765625, 238.25, 216.1796875, 221.984375, 243.8046875, 258.5703125, 207.3203125]"
