gae_lambda,angle_rew_weight,final_mean_return
0.8626262626262626,1.5151515151515151,"[622.171875, 474.1328125, 389.8671875, 545.5546875, 482.3359375, 589.453125, 405.4375, 585.84375, 596.3671875, 871.8203125]"
0.9757575757575758,6.161616161616162,"[689.3828125, 646.515625, 578.1796875, 983.2421875, 881.21875, 887.1171875, 923.3203125, 947.390625, 962.40625, 734.2265625]"
0.8222222222222223,1.3131313131313131,"[628.2109375, 818.109375, 862.1015625, 909.2578125, 460.1015625, 780.0390625, 492.3671875, 571.6953125, 610.4921875, 761.0859375]"
0.9434343434343435,1.9191919191919191,"[312.0625, 271.1171875, 285.1953125, 368.2890625, 587.4765625, 611.859375, 265.515625, 364.5625, 282.5703125, 638.15625]"
0.9212121212121213,7.373737373737374,"[945.234375, 774.8125, 716.96875, 914.28125, 873.0, 907.1953125, 901.6015625, 707.0859375, 476.7734375, 986.9609375]"
0.9959595959595959,2.929292929292929,"[235.1640625, 250.5234375, 256.2265625, 270.859375, 257.4140625, 403.578125, 248.7890625, 429.328125, 273.171875, 333.734375]"
0.9878787878787879,5.353535353535354,"[306.3046875, 465.9375, 443.609375, 844.0546875, 734.6015625, 972.40625, 712.359375, 979.0625, 337.84375, 279.578125]"
0.9555555555555556,2.727272727272727,"[288.6953125, 301.3359375, 272.265625, 670.0546875, 543.3828125, 870.21875, 267.671875, 527.7578125, 289.0859375, 623.9140625]"
0.8343434343434344,0.7070707070707071,"[515.109375, 564.6953125, 378.484375, 366.4375, 394.2265625, 374.4296875, 479.3203125, 807.328125, 594.5, 422.3671875]"
0.888888888888889,5.757575757575758,"[836.875, 965.1640625, 891.1953125, 929.453125, 790.1171875, 856.578125, 606.1015625, 808.890625, 837.5859375, 833.5234375]"
0.9333333333333333,8.181818181818182,"[557.3984375, 939.1953125, 408.7734375, 988.125, 805.3984375, 888.484375, 918.8046875, 914.1015625, 549.1640625, 901.1015625]"
0.9414141414141415,8.787878787878787,"[892.53125, 948.7890625, 964.9765625, 983.9375, 954.3515625, 993.8125, 1000.0, 952.796875, 805.34375, 942.2890625]"
0.9656565656565657,1.0101010101010102,"[255.359375, 288.609375, 237.984375, 284.6640625, 410.7265625, 301.7265625, 257.8125, 267.6484375, 227.5234375, 249.4609375]"
0.8808080808080808,0.20202020202020202,"[354.5390625, 303.4296875, 312.546875, 331.140625, 339.625, 312.140625, 302.2734375, 363.8125, 331.5703125, 395.2890625]"
0.8545454545454546,6.666666666666667,"[982.8203125, 769.2890625, 887.90625, 862.8671875, 843.9140625, 921.9609375, 799.5703125, 755.2578125, 831.1484375, 987.4453125]"
0.8666666666666667,1.4141414141414141,"[409.5859375, 555.515625, 567.25, 676.8828125, 537.125, 551.8203125, 396.5625, 601.96875, 476.1328125, 594.0]"
0.8343434343434344,6.96969696969697,"[1000.0, 1000.0, 942.7109375, 940.921875, 833.4609375, 970.0390625, 771.5546875, 861.671875, 968.21875, 968.2734375]"
0.9575757575757575,9.292929292929292,"[791.4921875, 926.3828125, 925.875, 975.140625, 876.203125, 968.6875, 973.078125, 967.6171875, 982.296875, 893.8359375]"
0.9676767676767677,1.9191919191919191,"[274.8828125, 286.125, 260.5625, 318.4765625, 293.0390625, 453.7265625, 252.59375, 282.4453125, 238.1875, 299.21875]"
0.9757575757575758,9.8989898989899,"[1000.0, 627.8359375, 978.15625, 962.40625, 1000.0, 988.0078125, 988.4140625, 1000.0, 962.0546875, 993.9921875]"
0.901010101010101,4.94949494949495,"[547.421875, 581.5859375, 404.390625, 799.1484375, 819.078125, 932.203125, 405.5703125, 808.1796875, 454.578125, 980.5]"
0.9797979797979798,4.848484848484849,"[285.3828125, 350.2734375, 717.40625, 932.5859375, 666.6328125, 832.1796875, 443.7734375, 862.6796875, 414.6875, 470.0859375]"
0.9454545454545454,7.373737373737374,"[957.59375, 877.0, 423.1640625, 918.8515625, 836.984375, 879.328125, 759.9140625, 921.9921875, 631.125, 625.3671875]"
0.9252525252525252,7.6767676767676765,"[1000.0, 972.59375, 895.1328125, 933.7265625, 916.4921875, 957.7265625, 728.5625, 853.734375, 376.6796875, 901.890625]"
0.8585858585858586,0.7070707070707071,"[524.9140625, 373.015625, 455.8515625, 386.5, 374.09375, 375.703125, 367.8359375, 497.796875, 419.6171875, 394.9765625]"
